Fragment_length	Missing_sites	GCGC-GCGC	Sum
351	0	643	643
352	0	651	651
353	0	609	609
354	0	622	622
355	0	647	647
356	0	547	547
357	0	665	665
358	0	599	599
359	0	544	544
360	0	593	593
361	0	621	621
362	0	636	636
363	0	620	620
364	0	603	603
365	0	629	629
366	0	614	614
367	0	638	638
368	0	683	683
369	0	643	643
370	0	713	713
371	0	636	636
372	0	625	625
373	0	619	619
374	0	619	619
375	0	579	579
376	0	638	638
377	0	628	628
378	0	613	613
379	0	548	548
380	0	597	597
381	0	597	597
382	0	582	582
383	0	554	554
384	0	585	585
385	0	618	618
386	0	534	534
387	0	589	589
388	0	617	617
389	0	624	624
390	0	651	651
391	0	568	568
392	0	574	574
393	0	579	579
394	0	571	571
395	0	614	614
396	0	598	598
397	0	595	595
398	0	560	560
399	0	628	628
400	0	595	595
401	0	564	564
402	0	584	584
403	0	623	623
404	0	537	537
405	0	584	584
406	0	602	602
407	0	602	602
408	0	632	632
409	0	595	595
410	0	796	796
411	0	564	564
412	0	603	603
413	0	576	576
414	0	625	625
415	0	554	554
416	0	605	605
417	0	608	608
418	0	584	584
419	0	610	610
420	0	592	592
421	0	544	544
422	0	523	523
423	0	564	564
424	0	562	562
425	0	558	558
426	0	544	544
427	0	554	554
428	0	551	551
429	0	535	535
430	0	535	535
431	0	564	564
432	0	553	553
433	0	589	589
434	0	596	596
435	0	577	577
436	0	546	546
437	0	562	562
438	0	554	554
439	0	536	536
440	0	532	532
441	0	575	575
442	0	562	562
443	0	557	557
444	0	569	569
445	0	530	530
446	0	599	599
447	0	537	537
448	0	596	596
449	0	645	645
450	0	637	637
451	0	605	605
452	0	587	587
453	0	565	565
454	0	558	558
455	0	576	576
456	0	571	571
457	0	543	543
458	0	514	514
459	0	557	557
460	0	561	561
461	0	585	585
462	0	541	541
463	0	543	543
464	0	505	505
465	0	545	545
466	0	539	539
467	0	520	520
468	0	547	547
469	0	499	499
470	0	536	536
471	0	506	506
472	0	512	512
473	0	484	484
474	0	557	557
475	0	500	500
476	0	534	534
477	0	543	543
478	0	538	538
479	0	494	494
480	0	510	510
481	0	543	543
482	0	543	543
483	0	486	486
484	0	510	510
485	0	497	497
486	0	569	569
487	0	494	494
488	0	525	525
489	0	518	518
490	0	554	554
491	0	500	500
492	0	519	519
493	0	526	526
494	0	484	484
495	0	500	500
496	0	567	567
497	0	516	516
498	0	525	525
499	0	504	504
500	0	511	511
501	0	518	518
502	0	513	513
503	0	514	514
504	0	522	522
505	0	524	524
506	0	552	552
507	0	515	515
508	0	549	549
509	0	545	545
510	0	563	563
511	0	688	688
512	0	1253	1253
513	0	643	643
514	0	503	503
515	0	485	485
516	0	506	506
517	0	506	506
518	0	536	536
519	0	529	529
520	0	519	519
521	0	516	516
522	0	494	494
523	0	482	482
524	0	481	481
525	0	460	460
526	0	506	506
527	0	517	517
528	0	518	518
529	0	479	479
530	0	488	488
531	0	469	469
532	0	482	482
533	0	487	487
534	0	490	490
535	0	496	496
536	0	512	512
537	0	535	535
538	0	504	504
539	0	534	534
540	0	497	497
541	0	477	477
542	0	488	488
543	0	444	444
544	0	475	475
545	0	453	453
546	0	479	479
547	0	493	493
548	0	528	528
549	0	472	472
550	0	472	472
551	0	497	497
552	0	445	445
553	0	468	468
554	0	485	485
555	0	468	468
556	0	490	490
557	0	460	460
558	0	456	456
559	0	482	482
560	0	445	445
561	0	461	461
562	0	464	464
563	0	486	486
564	0	474	474
565	0	495	495
566	0	447	447
567	0	495	495
568	0	479	479
569	0	462	462
570	0	441	441
571	0	462	462
572	0	505	505
573	0	525	525
574	0	454	454
575	0	502	502
576	0	452	452
577	0	471	471
578	0	459	459
579	0	487	487
580	0	433	433
581	0	473	473
582	0	472	472
583	0	451	451
584	0	470	470
585	0	433	433
586	0	446	446
587	0	458	458
588	0	472	472
589	0	435	435
590	0	431	431
591	0	462	462
592	0	461	461
593	0	423	423
594	0	475	475
595	0	471	471
596	0	462	462
597	0	484	484
598	0	477	477
599	0	451	451
600	0	443	443
601	0	472	472
602	0	402	402
603	0	450	450
604	0	471	471
605	0	452	452
606	0	445	445
607	0	413	413
608	0	439	439
609	0	420	420
610	0	452	452
611	0	412	412
612	0	443	443
613	0	427	427
614	0	411	411
615	0	466	466
616	0	473	473
617	0	456	456
618	0	455	455
619	0	375	375
620	0	441	441
621	0	461	461
622	0	472	472
623	0	471	471
624	0	428	428
625	0	433	433
626	0	445	445
627	0	447	447
628	0	464	464
629	0	458	458
630	0	466	466
631	0	490	490
632	0	542	542
633	0	516	516
634	0	509	509
635	0	430	430
636	0	449	449
637	0	441	441
638	0	454	454
639	0	456	456
640	0	505	505
641	0	473	473
642	0	464	464
643	0	428	428
644	0	438	438
645	0	437	437
646	0	430	430
647	0	425	425
648	0	447	447
649	0	419	419
650	0	413	413
651	0	417	417
652	0	436	436
653	0	458	458
654	0	436	436
655	0	416	416
656	0	427	427
657	0	422	422
658	0	423	423
659	0	417	417
660	0	453	453
661	0	452	452
662	0	423	423
663	0	392	392
664	0	438	438
665	0	447	447
666	0	407	407
667	0	434	434
668	0	399	399
669	0	439	439
670	0	460	460
671	0	423	423
672	0	410	410
673	0	389	389
674	0	430	430
675	0	420	420
676	0	409	409
677	0	439	439
678	0	435	435
679	0	420	420
680	0	405	405
681	0	472	472
682	0	479	479
683	0	480	480
684	0	429	429
685	0	470	470
686	0	399	399
687	0	407	407
688	0	437	437
689	0	415	415
690	0	465	465
691	0	416	416
692	0	409	409
693	0	411	411
694	0	411	411
695	0	427	427
696	0	433	433
697	0	431	431
698	0	378	378
699	0	449	449
700	0	377	377
701	0	438	438
702	0	412	412
703	0	372	372
704	0	399	399
705	0	386	386
706	0	403	403
707	0	436	436
708	0	380	380
709	0	364	364
710	0	395	395
711	0	373	373
712	0	425	425
713	0	376	376
714	0	416	416
